,grade,male,raceeth,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore
2476,9,1,Hispanic,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,225.0,28.0,1.0,1,1,1574.0,L
857,8,0,White,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,15.0,1.0,1,0,421.0,L
2530,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,13.0,1.0,0,1,356.0,H
102,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,25.0,1.0,1,1,2999.0,H
2300,10,0,White,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,230.0,25.0,1.0,1,0,347.0,L
2598,11,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0,20.0,1.0,1,1,1900.0,H
2201,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,30.0,1.0,1,0,808.0,H
2950,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,25.0,1.0,1,1,2255.0,L
2847,10,0,White,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,270.0,9.0,1.0,1,0,389.0,H
230,10,0,Hispanic,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,275.0,11.0,1.0,1,1,539.0,H
171,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,500.0,26.0,1.0,1,0,2183.0,H
1924,9,1,White,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,25.0,1.0,1,0,3004.0,H
557,10,1,White,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,23.0,1.0,1,0,1375.0,L
351,10,0,Hispanic,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,25.0,1.0,1,0,1900.0,H
1421,10,0,White,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,19.0,1.0,1,0,507.0,H
462,10,1,White,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,285.0,21.0,1.0,0,1,570.0,H
2757,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,285.0,14.0,0.0,1,0,2361.0,H
1613,11,1,White,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,30.0,1.0,1,0,2402.0,H
2711,11,0,White,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,240.0,30.0,1.0,1,1,2203.0,H
3291,9,1,White,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,300.0,34.0,1.0,1,0,432.0,L
188,9,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,19.0,1.0,1,0,636.0,L
13,10,1,White,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,30.0,1.0,1,0,2748.0,H
1338,10,1,White,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,200.0,25.0,1.0,1,0,929.0,L
1045,11,0,Black,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,225.0,30.0,1.0,1,1,1392.0,H
2179,11,0,White,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,20.0,1.0,1,0,929.0,H
560,11,0,Black,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,225.0,30.0,1.0,1,0,2878.0,H
705,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,160.0,10.0,1.0,1,1,1900.0,H
581,9,0,Hispanic,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,28.0,1.0,1,1,1574.0,L
1953,10,1,Hispanic,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,450.0,20.0,1.0,1,0,865.0,H
1537,11,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.0,30.0,1.0,1,0,1526.0,L
3073,10,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,32.0,1.0,1,0,2340.0,H
1419,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,20.0,1.0,1,0,929.0,L
40,10,0,Black,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,205.0,25.0,1.0,1,1,673.0,L
203,10,1,Black,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,282.0,17.0,1.0,1,1,1619.0,H
495,11,0,White,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.0,25.0,1.0,1,0,926.0,H
812,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,275.0,20.0,1.0,1,0,929.0,H
291,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,30.0,1.0,1,0,1233.0,L
1657,10,0,White,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,235.0,15.0,1.0,1,0,1828.0,H
2039,10,0,More than one race,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,30.0,1.0,0,1,308.0,L
2710,9,1,Hispanic,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,300.0,18.0,0.0,1,1,6694.0,L
318,9,1,Hispanic,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,20.0,1.0,1,1,1062.0,L
1149,11,0,White,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,25.0,1.0,1,0,1812.0,L
2957,10,1,More than one race,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,25.0,1.0,1,1,2162.0,H
1386,10,1,Native Hawaiian/Other Pacific Islander,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,250.0,30.0,1.0,1,0,2340.0,H
1687,10,1,Hispanic,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,360.0,30.0,1.0,1,1,2886.0,H
2472,11,0,Hispanic,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,250.0,31.0,1.0,1,1,1574.0,H
802,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,360.0,25.0,1.0,1,0,2361.0,H
1945,10,1,White,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,255.0,35.0,1.0,1,1,2966.0,L
93,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,30.0,1.0,1,0,898.0,H
1525,10,1,Hispanic,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,240.0,35.0,1.0,1,1,2942.0,L
3346,10,1,White,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,260.0,18.0,1.0,1,0,850.0,L
988,11,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,450.0,30.0,1.0,1,0,432.0,H
3366,10,1,White,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,275.0,27.0,1.0,1,0,505.0,H
2384,10,0,Hispanic,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,900.0,15.0,1.0,1,1,1062.0,L
1381,11,0,Hispanic,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,224.0,20.0,1.0,1,0,2710.0,H
2423,10,0,Hispanic,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.0,27.0,1.0,1,0,899.0,H
2676,10,1,Hispanic,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,450.0,54.0,1.0,1,1,1378.0,L
874,10,0,More than one race,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,264.0,30.0,1.0,1,0,1680.0,H
1994,9,1,White,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,20.0,1.0,1,0,196.0,L
99,9,0,White,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,9.0,1.0,1,0,421.0,L
1870,10,1,Hispanic,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,270.0,20.0,1.0,0,1,570.0,L
3079,10,1,White,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,22.0,1.0,1,0,347.0,H
2649,9,0,White,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,300.0,25.0,1.0,1,0,1064.0,H
1993,10,0,White,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,360.0,25.0,1.0,1,0,2361.0,H
2961,10,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,20.0,1.0,1,1,2162.0,H
2519,11,1,White,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,550.0,28.0,1.0,1,0,316.0,H
2396,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,14.0,1.0,1,0,389.0,H
666,11,0,More than one race,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,200.0,28.0,0.0,1,0,1250.0,H
1201,11,0,Hispanic,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,315.0,35.0,1.0,1,1,3201.0,H
1435,11,0,Hispanic,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,250.0,36.0,1.0,1,1,1763.0,L
2503,11,1,Black,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,25.0,1.0,1,0,868.0,L
3037,11,0,Asian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,225.0,23.0,1.0,1,0,2878.0,H
926,11,0,White,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,240.0,15.0,1.0,1,1,1900.0,H
2815,10,1,Asian,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,40.0,25.0,1.0,1,1,1110.0,L
836,11,1,Hispanic,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,360.0,30.0,1.0,1,1,2886.0,H
126,10,1,Black,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,32.0,1.0,1,1,1392.0,L
440,10,1,White,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,20.0,1.0,1,0,1680.0,H
2768,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,315.0,20.0,1.0,1,0,2361.0,L
2054,10,1,Hispanic,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,36.0,1.0,1,0,505.0,L
2397,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,195.0,25.0,1.0,1,1,2640.0,H
2494,11,0,Black,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,200.0,28.0,1.0,1,0,361.0,L
255,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,220.0,20.0,1.0,1,0,2098.0,H
297,10,1,White,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,25.0,1.0,1,1,1046.0,L
1073,10,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,500.0,12.0,1.0,1,0,1173.0,H
959,11,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,210.0,18.0,1.0,1,0,996.0,H
3195,10,0,Black,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,200.0,20.0,1.0,1,0,1733.0,L
2557,10,1,White,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,30.0,1.0,1,0,1913.0,L
2964,10,1,Hispanic,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,20.0,1.0,1,0,1489.0,H
349,11,0,Black,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,9.0,1.0,1,0,1848.0,L
797,10,0,Asian,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,261.0,30.0,1.0,1,1,2966.0,H
1929,10,0,American Indian/Alaska Native,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,600.0,30.0,1.0,1,0,930.0,H
569,11,0,White,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,20.0,1.0,1,0,1375.0,H
2885,10,1,More than one race,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,200.0,30.0,1.0,0,1,398.0,L
3307,10,0,Hispanic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,300.0,28.0,1.0,1,0,1347.0,L
187,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,260.0,30.0,1.0,1,1,2080.0,H
574,10,1,Hispanic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,450.0,26.0,1.0,1,0,1101.0,L
1503,11,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,220.0,20.0,1.0,1,0,2098.0,H
98,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,140.0,15.0,1.0,1,1,1900.0,H
1194,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,32.0,1.0,1,1,1988.0,L
7,10,0,Hispanic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,270.0,25.0,1.0,1,1,1400.0,L
588,11,0,Black,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,450.0,21.0,1.0,1,0,1173.0,H
1526,11,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,30.0,1.0,1,0,2000.0,H
1230,10,1,White,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,17.0,1.0,1,0,389.0,H
749,10,1,Hispanic,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,235.0,10.0,1.0,1,1,3000.0,L
2431,9,0,White,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,450.0,20.0,1.0,1,0,1273.0,H
2903,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,180.0,25.0,1.0,1,1,2966.0,H
1114,11,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,270.0,32.0,1.0,1,1,1734.0,H
1950,10,1,Black,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,240.0,20.0,1.0,1,0,1411.0,L
2107,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,450.0,20.0,1.0,1,0,712.0,H
1563,10,0,Black,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,450.0,30.0,1.0,1,0,1387.0,H
2852,10,1,White,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,540.0,20.0,1.0,1,0,389.0,H
2064,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,225.0,30.0,1.0,1,0,2878.0,H
89,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,31.0,1.0,1,0,2340.0,H
1236,10,1,White,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.0,25.0,1.0,1,1,2144.0,H
3282,10,0,Asian,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,285.0,35.0,1.0,1,0,2183.0,H
397,11,0,Hispanic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,225.0,20.0,1.0,1,0,774.0,H
2546,10,0,Asian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,250.0,14.0,1.0,0,1,915.0,H
2859,10,1,White,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,25.0,1.0,1,0,1411.0,L
1668,10,1,More than one race,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.0,20.0,1.0,1,0,227.0,H
1120,10,1,White,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,450.0,15.0,1.0,1,0,434.0,L
1169,10,1,White,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,20.0,1.0,1,0,1087.0,H
1239,10,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,245.0,20.0,1.0,1,0,366.0,H
1966,10,0,White,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,25.0,1.0,1,0,1087.0,L
1403,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500.0,15.0,1.0,1,0,361.0,H
2046,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,250.0,30.0,1.0,1,0,2878.0,H
2430,10,1,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,270.0,25.0,1.0,1,0,1273.0,L
3201,11,0,White,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,500.0,15.0,1.0,1,0,1173.0,H
2438,10,0,White,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,24.0,1.0,1,1,2004.0,H
2704,10,1,More than one race,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,230.0,25.0,1.0,1,0,1380.0,H
45,10,1,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,17.0,1.0,0,1,575.0,H
3245,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.0,30.0,1.0,1,0,1295.0,H
2392,10,0,White,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,20.0,1.0,1,0,1387.0,L
331,11,1,More than one race,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270.0,35.0,1.0,1,1,1411.0,H
1909,10,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,29.0,1.0,1,0,1897.0,H
709,11,0,White,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,270.0,28.0,1.0,1,0,196.0,H
